quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,cruise,instrument
2.5,48336,21424,21696,5000,0.443230718305197,0.448857994041708,1.359,1.324,0,0,-44265,-42301,DeepDOM,989
50,48704,19728,20416,5000,0.405059132720105,0.419185282522996,1.37,1.337,0,0,-46996,-44701,DeepDOM,989
97.5,49104,18176,19088,5000,0.370153144346693,0.388725969371131,1.382,1.349,0,0,-49686,-47153,DeepDOM,989
2.5,53024,32512,38304,5000,0.613156306578153,0.722389861194931,1.904,2.034,0,0,-68446,-69547,HOT-294,751
50,53504,30800,36512,5000,0.575657894736842,0.682416267942584,1.91,2.04,0,0,-71393,-72636,HOT-294,751
97.5,53888,29184,34928,5000,0.541567695961995,0.648159144893112,1.915,2.047,0,0,-74012,-75381,HOT-294,751
2.5,50160,19984,13248,5000,0.398405103668262,0.264114832535885,1.64,1.637,0,0,-62278,-68864,KiloMoana_1,740
50,50848,18544,11568,5000,0.36469477658905,0.227501573316551,1.635,1.632,0,0,-64592,-71416,KiloMoana_1,740
97.5,51376,17248,9744,5000,0.335720959202741,0.189660541887263,1.63,1.627,0,0,-66495,-73845,KiloMoana_1,740
2.5,53552,45616,50560,5000,0.851807588885569,0.94412907080968,1.904,2.034,0,0,-56347,-58365,KM1712,751
